text,label
"Новые технологии энергомашиностроения от [DATE_TIME] на [DOCUMENT_NUMBER] Уважаемый [PERSON]! В дополнение к нашему исх. [DOCUMENT_NUMBER] СО от [DATE_TIME] и НЦСГЕ [DOCUMENT_NUMBER] ПС и РЭ Паспорт и руководство по эксплуатации направляем НЦСГЕ.Г.02.000 РЭ Руководство по эксплуатации (редакция [YEAR]), требованиями которого необходимо руководствоваться при проведении технического обслуживания и ремонта агрегатов электронасосных НЦСГ-Е-200-210-А-Ш-Т1-УХЛ1 зав. No[ID], [ID], [ID]. Внимание! НЦСГЕ.Г.02.000 РЭ Руководство по эксплуатации не заменяет НЦСГЕ [DOCUMENT_NUMBER] ПС и РЭ Паспорт и руководство по эксплуатации. Приложение - НЦСГЕ.Г.02.000 РЭ. [PERSON] Директор по качеству [ORGANIZATION] Контактное лицо: Менеджер по качеству [PERSON] Тел: [CONTACT], e-mail: [CONTACT] [ORGANIZATION], [LOCATION], тел.: [CONTACT], e-mail: [CONTACT], www.[WEBSITE], ИНН [ID] КПП [ID] ОКПО [ID] стр. 1 из 1",Блок деректора по газу
"[ORGANIZATION] [LOCATION] [CONTACT] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] направлении опросного листа Уважаемый [PERSON]! На основании ранее достигнутых договоренностей по выполнению мероприятий направленных на снижение ограничений на УКПГ-2В по приему продукции скважин пластов [OBJECT] и скважин [OBJECT] направляю опросный лист на замену проточных частей эжекторов на трех блоках. Проточные части необходимы для улучшения характеристик работы трех блоков эжекторов, аналогичных представленному в приложении 2. Приложение: 1. Опросный лист на 1 л. в 1 экз. 2. Сведения об основных частях эжектора на 1 л. Заместитель генерального директора по добыче и подготовке газового конденсата, нефти [PERSON] [PERSON] [CONTACT]",Блок деректора по газу
"[ORGANIZATION] [LOCATION] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] совместной проверки Уважаемый [PERSON]! В период с [DATE_TIME] по [DATE_TIME] запланировано проведение совместной проверки узлов измерений расхода газа [ORGANIZATION] с участием представителей [ORGANIZATION] и [ORGANIZATION]. Сообщаю Вам, что участие в проверке примут: 1. Работник филиала [ORGANIZATION] Управление автоматизации и метрологического обеспечения: [PERSON] [PERSON] инженер по метрологии 2 категории. 2. Работники филиала [ORGANIZATION] Инженерно-технический центр: [PERSON] [PERSON] инженер 1 категории; [PERSON] [PERSON] начальник лаборатории; [PERSON] [PERSON] инженер по КИПиА 1 категории. 3. Работник [LOCATION] участка ИТЦ [ORGANIZATION]: [PERSON] [PERSON] инженер ГИРиККУС 2 категории. Прошу организовать допуск указанных работников на объекты [ORGANIZATION] и проведение совместной проверки. Приложение: копия графика совместных проверок узлов измерений углеводородных сред в [ORGANIZATION] и [ORGANIZATION] на [DATE_TIME] на 3 л. в 1 экз. И.о. главного инженера первого заместителя генерального директора [PERSON] [ID] Директору по газу [ORGANIZATION] [PERSON] [PERSON]",Блок деректора по газу
[ORGANIZATION] [LOCATION] [CONTACT] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [PERSON] подтверждении достоверности измерений объемов товарного газа Уважаемый [PERSON]! В целях подтверждения достоверности измерений объемов товарного газа за [DATE_TIME] прошу Вас организовать [DATE_TIME] допуск и участие в формировании интервальных отчетов за месяц вычислителей/систем измерений по каждому измерительному трубопроводу и узлу измерений расхода газа на [OBJECT] [ORGANIZATION] [PERSON] [PERSON] И.о. главного инженера - первого заместителя генерального директора [PERSON] [PERSON] ([CONTACT]),Блок деректора по газу
"НОВЫЕ ТЕХНОЛОГИИ ЭНЕРГОМАШИНОСТРОЕНИЯ Директору по газу [ORGANIZATION] - [PERSON] e-mail: [CONTACT] [DATE_TIME] на [DOCUMENT_NUMBER] от [DATE_TIME] г. Уважаемый [PERSON]! По результатам анализа конструктива агрегатов электронасосных НЦСГ-Е-280-120-К-Ш-Т1-УХЛ1 в части возможности увеличения температуры рабочей среды с плюс 230 C до плюс 260 C сообщаю следующее. Агрегаты насосные НЦСГ-Е-280-120-К-Ш-Т1-УХЛ1 скомплектованы кранами шаровыми с температурой эксплуатации рабочей среды до плюс 230 C. Таким образом агрегаты не предназначены для эксплуатации с температурой рабочей среды выше плюс 230 C. [PERSON] [PERSON] Директор по качеству [ORGANIZATION] Контактное лицо: Ведущий менеджер по качеству [PERSON] Тел: [CONTACT], e-mail: [CONTACT] [ORGANIZATION], [LOCATION], тел.: [CONTACT], e-mail: [CONTACT], www.[ORGANIZATION], ИНН [ID] КПП [ID] ОКПО [ID] стр. 1 из 1",Блок деректора по газу
"[ORGANIZATION] ОГРН: [ID], ИНН/КПП: [ID] РФ, [LOCATION], [CONTACT] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] г. Директору по газу [ORGANIZATION] [PERSON] О заключении договора аренды земельного участка Уважаемый [PERSON]! В рамках исполнения Договора No [DOCUMENT_NUMBER] от [DATE_TIME] г., на оказание сервисных услуг по подготовке газа и газового конденсата с применением мобильных установок подготовки газа и газового конденсата для [OBJECT] в [DATE_TIME]-[DATE_TIME] гг. заключенного между [ORGANIZATION] (далее - Заказчик) и [ORGANIZATION] (далее - Исполнитель) для регистрации в государственном реестре опасного производственного объекта просим заключить договор аренды земельного участка на [OBJECT], [OBJECT] [OBJECT] [OBJECT] [OBJECT]. С уважением, Управляющий директор [PERSON].",Блок деректора по газу
"[ORGANIZATION] [ORGANIZATION] [LOCATION] [CONTACT] [ORGANIZATION] Уважаемый [PERSON]! В ответ на Ваше письмо исх. No[DOCUMENT_NUMBER] от [DATE_TIME] сообщаю, что на [ORGANIZATION] прошла процедура согласования проекта дополнительного соглашения No1 к договору No[DOCUMENT_NUMBER] от [DATE_TIME]. С учетом изложенного и учитывая отсутствие разногласий к данному проекту дополнительного соглашения, прошу направить в адрес [ORGANIZATION] подписанное с Вашей стороны дополнительное соглашение No1 к договору No[DOCUMENT_NUMBER] от [DATE_TIME] для дальнейшего оформления. Директор по коммерческим вопросам [PERSON] Исп.: [PERSON] Тел.: [CONTACT] ИСПОЛНЕНО В ДЕЛО No[DOCUMENT_NUMBER] исх. No[DOCUMENT_NUMBER], дата, подпись",Блок деректора по газу
"[ORGANIZATION] Общество с ограниченной ответственностью [ORGANIZATION] (ООО [ORGANIZATION]) Адрес для почтовой корреспонденции: а/я [LOCATION], г. [LOCATION] Юридический адрес: [LOCATION] тел.: [CONTACT] факс: [CONTACT] e-mail: [CONTACT], www.[DOMAIN] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] от [DATE_TIME] О предоставлении информации по проекту Уважаемый [PERSON]! Для рассмотрения запроса по объекту [OBJECT]. Компрессорная станция с установкой подготовки газа в части замены снит-систем на взрывозащищенное исполнение сооблаем следующее. Согласно проектной документации, Приложение А [FINANCIAL_DATA].[FINANCIAL_DATA] (том [FINANCIAL_DATA])изм. [FINANCIAL_DATA], указаны решения по системам кондиционирования (снит-системы) с указанием их параметров по взрывозащите, их положению на плане сооружения на основании полученной РКД от Заказчика, которые получили положительное заключение ГТЭ. Для рассмотрения Вашего запроса просим предоставить следующие ИД: - наименование сооружения по эксплуатации с указанием его номера; - замена по пик-сеции; - наименование поставщика сооружения/здания и его комментарии по вопросу снит-систем; - схема-конструктор листа/технический требования на поставку сооружения/здания, который был приложен к договору на закупку; - реестр ЛКП по рассмотрению РКД данного сооружения/здания; - паспорта на взрывобезопасные снит-системы. В исходном числе отсутствовала сопроводительная информация. При обращении в рабочем порядке на эл. почту [CONTACT], запрашиваемая информация не поступила. Главный инженер - заместитель генерального директора [PERSON] ([CONTACT]) доб. [FINANCIAL_DATA] Директор по газу ООО [ORGANIZATION] [PERSON] [ORGANIZATION], ООО Вх. No [DOCUMENT_NUMBER] от [DATE_TIME]",Блок деректора по газу
"[ORGANIZATION] [LOCATION] [CONTACT]; [ID] [DATE_TIME] No [DOCUMENT_NUMBER] / [DOCUMENT_NUMBER] [PERSON] по газу [ORGANIZATION] [PERSON] [LOCATION] Телефон: [CONTACT] email: [CONTACT] Об изготовлении Блоков ЗРА ТДА No1 и ТДА No2 (Проект No [DOCUMENT_NUMBER]) Уважаемый [PERSON]! В настоящее время на территории [ORGANIZATION] ведутся работы по устранению рекламации по турбодетандерным агрегатам (далее – ТДА) ТДА 2.2., КВ [DOCUMENT_NUMBER]. ТУ [DOCUMENT_NUMBER], ТТ [DOCUMENT_NUMBER]. изм. [NUMBER] (зав. No [NUMBER]) (далее – ТДА 1) и ТДА 3.2., КВ [DOCUMENT_NUMBER]-[NUMBER] ТУ [DOCUMENT_NUMBER], ТТ [DOCUMENT_NUMBER] изм. No [NUMBER]) (далее – ТДА 2), поставленных на объект [OBJECT]. Компрессорная станция с установкой подготовки газа. Агрегат турбодетандерный ТДА 182,[DATE_TIME],6 – 2 шт. (далее – Объект) по Договору поставки No ДП [DOCUMENT_NUMBER] [DOCUMENT_NUMBER] от [DATE_TIME] (далее – Договор). Информирую Вас, что в целях проведения монтажных, сварочных, пусконаладочных работ, а также работ по проверке ТДА силами [ORGANIZATION] на Объекте [ORGANIZATION] и субподрядные организации отправляют суммарно до [NUMBER] сотрудников. Прошу Вас сообщить даты остановов каждой из ниток УНТС и общего останова УНТС. Также прошу Вас оказать содействие в размещении сотрудников [ORGANIZATION] и других субподрядных организаций по Проекту в период с [DATE_TIME] по [DATE_TIME] согласно Приложению No [NUMBER] к настоящему письму. Приложения: 1) График нахождения сотрудников [ORGANIZATION] и ПО на Объекте от [DATE_TIME]. С уважением, [PERSON] по коммерческой работе [PERSON] Исп. [PERSON] Тел.: [CONTACT], E-mail: [CONTACT]",Блок деректора по газу
"[ORGANIZATION] ИНН/КПП [ID]/[ID] ОГРН [DOCUMENT_NUMBER] Телефон/факс [CONTACT] Адрес: [LOCATION] E-mail: [CONTACT] Исх.No [DOCUMENT_NUMBER] от [DATE_TIME] г. На исх. No[DOCUMENT_NUMBER] от [DATE_TIME] г. Директору по газу [ORGANIZATION] [PERSON] Копия: [PERSON] Уважаемый, [PERSON]! В ответ Ваше письмо исх. сообщаем, что согласно техническому проекту на [OBJECT] подача воздуха в каждый отсек (аппаратная и электрощитовая) может осуществляться одновременно двумя приточными установками (рабочей П1 и резервной П2). Этот алгоритм отражен в функциональной схеме комплекса технических средств и указан в графической части комплекта чертежей [OBJECT]. Таким образом конструкция полностью соответствует [DOCUMENT_NUMBER]. Также обращаем Ваше внимание, что технический проект [OBJECT] (комплект РКД раздела ОВК на блочно-модульно здание насосной) был рассмотрен и согласован специалистами [ORGANIZATION] (письмо исх. No[DOCUMENT_NUMBER] от [DATE_TIME] г.), а также успешно прошел сессии HAZOP, LOPA и PSHER. Приложение: 1. Функциональная схема комплекса технических средств; 2. Письмо исх. с приложением. Заместитель исполнительного директора по качеству [PERSON] Исп. [PERSON] Тел.: [CONTACT]",Блок деректора по газу
"[ORGANIZATION] ([ORGANIZATION]) www.[ORGANIZATION].ru Адрес: [LOCATION] Телефон: [CONTACT] Факс: [CONTACT] ОКПО: [ID] ОГРН: [ID] ИНН/КПП: [ID] [DATE_TIME] No [DOCUMENT_NUMBER]/[DOCUMENT_TYPE]/[DATE_TIME] на No [DOCUMENT_NUMBER]/[DOCUMENT_TYPE]/[DATE_TIME] [ORGANIZATION] [ORGANIZATION] Руководителю подразделения технологических решений по газу [PERSON] [LOCATION] e-mail: [CONTACT] Уважаемый [PERSON]! В ответ на Ваше письмо No [DOCUMENT_NUMBER]/[DOCUMENT_TYPE]/[DATE_TIME] с целью опроса рынка на оказание услуг по замене системы электрозапуска газотурбинного двигателя [ENGINE_MODEL] для [LOCATION] в [DATE_TIME]–[DATE_TIME], [ORGANIZATION] сообщает о заинтересованности в выполнении данных услуг. Однако, в связи с тем, что данная доработка на [ORGANIZATION] в процессе освоения, к сожалению, вынуждены отказаться от проработки запроса и подготовки ценового предложения, в соответствии с Вашим техническим заданием. С Уважением, Коммерческий директор - заместитель директора дивизиона Двигатели [PERSON]",Блок деректора по газу
"[ORGANIZATION] [ORGANIZATION] [OBJECT] [LOCATION] Исх. No [DOCUMENT_NUMBER] [PERSON] [PERSON] копия: [PERSON] копия: [PERSON] касаемо [OBJECT] для [OBJECT] и [OBJECT] Уважаемый [PERSON]! В соответствии с п.2 МЕМО совещания от [DATE_TIME] касаемо системы автоматического управления (САУ) агрегата воздухонагревательного газового модульного (АВГМ) для ГПА-16 Волга в связи с выбором в качестве поставщика САУ ГПА для [OBJECT] и [OBJECT] компании [ORGANIZATION] и наличием требования по применению САУ АВГМ на единой элементной базе с САУ ГПА прошу Вас подтвердить о необходимости применения исключительно САУ АВГМ производства [ORGANIZATION] и невозможности выбора альтернативных производителей САУ АВГМ. [PERSON] [PERSON] тел: [CONTACT], Bx. No [ID] от [DATE_TIME]",Блок деректора по газу
"[ORGANIZATION] добыва [LOCATION] Общество с ограниченной ответственностью [ORGANIZATION] ([ORGANIZATION]) [LOCATION], [CITY], [REGION], [COUNTRY], [ZIP_CODE] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT], www.[WEBSITE] [OKPO] [ORGANIZATION_NUMBER], [OGRN], [INN], [KPP] [DATE_TIME] No [DOCUMENT_NUMBER]/[YEAR]-[NUMBER] на No от Об увеличении сроков ППР в [YEAR] Уважаемый [PERSON]! В [YEAR] в соответствии с Пообъектным планом диагностического обследования [ORGANIZATION] запланировано выполнение внутритрубной диагностики объектов Трубопровод нестабильного конденсата [OBJECT]-[OBJECT]-[OBJECT]. [OBJECT]. и Трубопровод нестабильного конденсата [OBJECT] - [OBJECT]-[OBJECT]-[OBJECT]. [OBJECT] (далее – ВТД). Для возможности устранения вероятных дефектов по результатам проведения внутритрубной диагностики, прошу Вас при подготовке планов по добыче углеводородов на [YEAR] и планово-предупредительных ремонтов объектов инфраструктуры [ORGANIZATION] учесть остановку: [OBJECT] на [NUMBER] календарных дней в [QUARTER] [YEAR]; [OBJECT] на [NUMBER] календарных дней в [QUARTER] [YEAR]. По результатам отчетов ВТД сроки могут быть уточнены. И.о. заместителя генерального директора по добыче и подготовке газового конденсата, нефти [PERSON] [PERSON] [CONTACT]",Блок деректора по газу
