label,paraphrase,original
Блок бизнес-директора,"Поздравления с Днью-Йорком [ЭТО] / Documentary of Everything (PERSON) и напоминания о том, что СКАТЕРИНЫ - НЕФТЬ и ЛИДЕРЫ - это не просто слова, а приказы.

В качестве эффективного решения, мы предлагаем вам сформировать и утвердить приказ на основе разработанной матрицы (Приложение 1). Приложение: 1. Матрица распределения функциональных и функциональных обязанностей в направлении бурения, бурение и тюбинга.","[ORGANIZATION] НЕФТЬ Публичное акционерное общество [ORGANIZATION] нефть (ПАО [ORGANIZATION] нефть) Для корреспонденции: [LOCATION], [DATE_TIME] тел.: [CONTACT] факс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION]-neft.ru [ID], [ID], [ID], [ID] на No** _**от** _** Об утверждении матрицы распределения ответственности Уважаемый [PERSON]! В ответ на Ваше письмо исх. Письмо от [DATE_TIME] No [DOCUMENT_NUMBER] сообщаем следующее: 1. Проработано распределение функционала и ответственности между производственными Блоками дочернего общества [ORGANIZATION] при реализации договора видеоаналитики, подготовлен проект матрицы для направлений видеоаналитики бурение и ТКРС (Приложение No1). 2. Согласно методологии УИД (СК-[CONTACT] Управление исполнением договорных обязательств при выполнении работ/услуг в Блоке разведки и добычи) за формирование команды реализации договора отвечает Руководитель дочернего общества. 3. Для организации эффективной работы по сопровождению реализации договоров видеоаналитики по направлениям бурение и ТКРС предлагаем Вам сформировать и утвердить приказ по [ORGANIZATION]-[OBJECT] на основе подготовленной матрицы (Приложение No1) Приложение: 1. Матрица распределения функционала и ответственности. С уважением, [PERSON] [PERSON]"
Блок бизнес-директора,".ru / id / ИНВ/ ИНВ / КПП: .ru / ID: ""ORGANI"" / ""DATE_TME], [DOCUMENT NUMBER' (далее - заказчик) имеет все полномочия по выполнению всех обязательств в рамках договора No No DOCUMENT_NUMBER], [DOCUSTE_IT: .RU] / .ru, от [DOCUMENT"" (далее - Договор).

В ответ на письмо от [DOCUMENT-NUMBER] [ORGANI] от ""Document ITME"" No [NUMBER] и Платежный заказ No NUMBER"" (Second PROAD) руководитель проекта ""PERSON"" SMS; тел. : ([PERSON] Исп. Руководитель проектов ""ПЕРСОН"":","[ORGANIZATION] [ORGANIZATION] ИНН / КПП: [ID] / [ID] ОГРН [DOCUMENT_NUMBER], [DATE_TIME] Юр./ факт. адрес: [LOCATION] тел.: [CONTACT] e-mail: [CONTACT] [ORGANIZATION] No [DOCUMENT_NUMBER] от [DATE_TIME] Кому: [PERSON] О заключении Наряд-заказов Уважаемый [PERSON]! [ORGANIZATION] высоко ценит сотрудничество с [ORGANIZATION] (далее - Заказчик) и прилагает все усилия к тому, чтобы качественно и в срок выполнить все принятые на себя обязательства в рамках Договора No[DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по сбору и передаче данных, формирование отчетности, архивированию, визуализации (далее - Договор). В ответ на Ваше письмо от [DATE_TIME] No [DOCUMENT_NUMBER] [ORGANIZATION] выражает свое согласие на заключение Наряд-заказа No [NUMBER] и Наряд-заказа No [NUMBER] в рамках Договора по реализации нефтегазовых проектов по направлению Бурение, ТКРС без изменения единичных расценок, общей стоимости, сроков выполнения работ и сроков действия Договора. С уважением, Коммерческий директор [ORGANIZATION] [PERSON] Исп. Руководитель проектов [PERSON] Тел. [CONTACT]"
Блок бизнес-директора,"В качестве адресата на семинаре ""КОНТИКЦИОН"" (Мск), в рамках которого вы сможете узнать последние тенденции цифрового инжиниринга, познакомиться с передовыми решениями в области цифрового инжиниринга, а также обсудить возможности масштабирования решений для различных подразделений и дочерних обществ [PERSON].

Посетите конференц-зал (304), расположенный в ЦФУ (CFHERGAUЗ] по адресу: [RGANIO) [PERSON] [PERSON] [CONTACT] в Цифергаузе по адресу: [LOMANi-JATION] с уважением, директор Дирекции цифровых и инженерных технологий [OGANION]","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ [ORGANIZATION] Адрес для корреспонденции: [LOCATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] Тел.: [CONTACT] e-mail: [CONTACT] [PERSON] на No от Приглашение на Демо-день цифровых НИОКР-проектов Уважаемый [PERSON]! Мы рады пригласить Вас на Демо-день цифровых НИОКР-проектов третьей волны [DATE_TIME], мероприятие состоится [DATE_TIME] (МСК). На встрече команда Дирекции цифрового инжиниринга поделится знаниями о том, как цифровые технологии могут помочь решить актуальные бизнес-задачи. В рамках мероприятия эксперты по технологиям и представители бизнеса обсудят возможности масштабирования решений для различных подразделений и дочерних обществ [ORGANIZATION]. Не упустите возможность узнать о последних тенденциях в области цифровых технологий и познакомиться с передовыми решениями! Проекты, которые будут представлены на мероприятии: 1. Малый прототип амплитудной корректной машины Изинга 2. 3D-печать металлических МТР на FDM принтере 3. Система проактивной диагностики динамического оборудования бурения 4. Безэкипажный катер для проведения гидрографических исследований 5. Комплексное исследование Самообучающаяся модель пласт 6. Акустический мониторинг утечек газа 7. Георадиолокация для определения мощности отсыпки 8. Дизайн полиуретановых материалов 9. Проверка возможности применения стратосферной управляемой платформы для задач прогнозирования ледовой обстановки [ORGANIZATION] Ожидаем вас в конференц-зале (304), расположенном в Цифергаузе по адресу: [LOCATION] С уважением, Директор Дирекции цифрового инжиниринга [PERSON] [PERSON] [CONTACT]"
Блок бизнес-директора,"Доверенность на проведение мероприятия: ОКП [ID], ОГРН [ID], ИНН [ID], КПП (код) Посетители мероприятия: ""DSON"", ""PERSON"", ""NUMBER"", КУП [ID], No 89. Во время встречи эксперты по технологиям и бизнес-эксперты будут обсуждать возможности разработки новых технологий для разных подразделений и дочерних обществ"" (МСК).

Мы ждем вас в конференц-зале (304), расположенном в Цифергеузе по адресу: [СФЕРГАУЗ] в здании, находящемся по адресу: [RANIIN] [CONSTERSON] [FERGANIO] в Цифергизе по адресу: ""PERSON"" (PERSON) 10.","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ [ORGANIZATION] Адрес для корреспонденции: [LOCATION] ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] Тел.: [CONTACT] e-mail: [CONTACT] [PERSON] на No от Приглашение на Демо-день цифровых НИОКР-проектов Уважаемый [PERSON]! Мы рады пригласить Вас на Демо-день цифровых НИОКР-проектов третьей волны [DATE_TIME], мероприятие состоится [DATE_TIME] (МСК). На встрече команда Дирекции цифрового инжиниринга поделится знаниями о том, как цифровые технологии могут помочь решить актуальные бизнес-задачи. В рамках мероприятия эксперты по технологиям и представители бизнеса обсудят возможности масштабирования решений для различных подразделений и дочерних обществ [ORGANIZATION]. Не упустите возможность узнать о последних тенденциях в области цифровых технологий и познакомиться с передовыми решениями! Проекты, которые будут представлены на мероприятии: 1. Малый прототип амплитудной корректной машины Изинга 2. 3D-печать металлических МТР на FDM принтере 3. Система проактивной диагностики динамического оборудования бурения 4. Безэкипажный катер для проведения гидрографических исследований 5. Комплексное исследование Самообучающаяся модель пласт 6. Акустический мониторинг утечек газа 7. Георадиолокация для определения мощности отсыпки 8. Дизайн полиуретановых материалов 9. Проверка возможности применения стратосферной управляемой платформы для задач прогнозирования ледовой обстановки [ORGANIZATION] Ожидаем вас в конференц-зале (304), расположенном в Цифергаузе по адресу: [LOCATION] С уважением, Директор Дирекции цифрового инжиниринга [PERSON] [PERSON] [CONTACT]"
Блок бизнес-директора,"Просьба к Вам и Вашей команде в лице [PERSON] и [PERSON] выразить благодарность за активное участие, содействие и профессионализм в реализации цифрового решения, благодаря вкладу Ваших людей в реализацию цифрового решения [PERSON], [PERSON] и ""PERSON"" [ОРГАНИ], которые помогли нам успешно реализовать нашу задачу.","Директору по бизнес-трансформации [ORGANIZATION] [PERSON] Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] [ID] [CONTACT] e-mail: [CONTACT] http://www.[ORGANIZATION].ru Благодарность Уважаемый [PERSON]! Настоящим письмом выражаем благодарность Вам и Вашей команде в лице [PERSON] и [PERSON] за активное участие, содействие и профессионализм в реализации ОПЭ цифрового решения [DOCUMENT_NUMBER] Моя функция. Благодаря вкладу Вашей команды, тираж завершился успешно и команда цифрового проекта смогла достигнуть поставленных целей. Мы высоко ценим наше сотрудничество и надеемся на продолжение плодотворного взаимодействия в будущем. С уважением, [PERSON] [PERSON] [CONTACT] [ORGANIZATION]"
Блок бизнес-директора,"В связи с письмом ЛИДЕ-ТИМЕ No / ** от [NOCTION], [DINTER] TAINT, [NUMBER]  , Вы получите ответ от [PERSON] о создании команды для выполнения обязательств по договору видеоаналитики и ТКРС (приложение 1).

Приложение: 1. Подготовка матрицы распределения функционала и ответственности. С уважением, [ПЕТЕРСОН] [PEERSON]. С уважением, (Петерсен), ""Петерсен"". (Октебя) [Петерсена]. (Объект No 1).","[ORGANIZATION] НЕФТЬ Публичное акционерное общество [ORGANIZATION] нефть (ПАО [ORGANIZATION] нефть) Для корреспонденции: [LOCATION], [DATE_TIME] тел.: [CONTACT] факс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION]-neft.ru [ID], [ID], [ID], [ID] на No** _**от** _** Об утверждении матрицы распределения ответственности Уважаемый [PERSON]! В ответ на Ваше письмо исх. Письмо от [DATE_TIME] No [DOCUMENT_NUMBER] сообщаем следующее: 1. Проработано распределение функционала и ответственности между производственными Блоками дочернего общества [ORGANIZATION] при реализации договора видеоаналитики, подготовлен проект матрицы для направлений видеоаналитики бурение и ТКРС (Приложение No1). 2. Согласно методологии УИД (СК-[CONTACT] Управление исполнением договорных обязательств при выполнении работ/услуг в Блоке разведки и добычи) за формирование команды реализации договора отвечает Руководитель дочернего общества. 3. Для организации эффективной работы по сопровождению реализации договоров видеоаналитики по направлениям бурение и ТКРС предлагаем Вам сформировать и утвердить приказ по [ORGANIZATION]-[OBJECT] на основе подготовленной матрицы (Приложение No1) Приложение: 1. Матрица распределения функционала и ответственности. С уважением, [PERSON] [PERSON]"
Блок бизнес-директора,"В рамках проведения II круглого стола ""Оператор ""ОНЦ-АЦИОН"" (OBJECT), руководитель группы (ПАРОМ) - [PERSON] будет приглашен на выездной бизнес-конференцию ""Оператор"" - ОГРН: OMGANI, ОКПО, ИНН: ADD; ID: CONTACT) - ""Оператор"" (ФЕДЕРАЦИОН);

Заседание VII Слета администраторов системы И.Д.Е.Я. пройдет в г., а также состоится сессия X ЛИНея: сессии по оптимизации Рид - сессии для анализа и совершенствования операционной эффективности РиД. В рамках конференции будут принимать участие [ПЕРСОН], ""PERSON"" ([PERSON) и [Перссон"".","Публичное акционерное общество [ORGANIZATION] (ПАО [ORGANIZATION]) [PERSON] Генерального директора ООО [ORGANIZATION]-[OBJECT] для корреспонденции: [LOCATION] тел.: [CONTACT] факс: [CONTACT] e-mail: [CONTACT], www.[ORGANIZATION].ru ОКПО [ID], ОГРН [DOCUMENT_NUMBER], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от Участие сотрудников ООО [ORGANIZATION]-[OBJECT] в выездных мероприятиях функции Уважаемый [PERSON]! [DATE_TIME] состоится II Очный клуб директоров по бизнес-трансформации в г. [LOCATION]. Цель мероприятия определить барьеры и пути их преодоления в рамках реализации программы бизнес-трансформации ДО разведки и добычи. Для участия во встрече приглашен [PERSON]. [DATE_TIME] состоится выездная стратегическая сессия Будущее ЦТ РиД, которая пройдет в [LOCATION]. Цель сессии определить стратегические направления развития ЦТ в периметре ДО разведки и добычи. Для участия в сессии приглашен [PERSON]. [DATE_TIME] состоится совмещенная сессия VII Слет администраторов системы И.Д.Е.Я. и XIII ЛИНейка: сессия по операционной эффективности РиД, которая пройдет в г. Целью сессии является демонстрация практических кейсов, обмен лучшими практиками, обсуждение стратегии направления ЛИНиЯ 2.0, а также совершенствование НМД процесса И.Д.Е.Я. Для участия во встрече приглашены [PERSON] и [PERSON]. Прошу Вас рассмотреть возможность участия в мероприятиях функции УППОЭ сотрудников ООО [ORGANIZATION]-[OBJECT]. С уважением, [PERSON] [PERSON] ([CONTACT])"
Блок директора по персоналу,"Проводится опрос от ""Опроса о перспективах кадрового обеспечения организаций в системе образования в России"" (до ""ДАНТЕ-ТЕМ"") и по истечении семилетнего периода для определения ежегодной потребности в специалистах, чтобы обеспечить их обучение на соответствующих специальностях или направлениях подготовки. Так что вы можете быть принятым в качестве работодателя.

Сводные сведения об электронном чеке: [EP] Сертификат ""СЕРТИФИКАТ"" / ЭП Сертификат ""СЕРТИФИКАТ ИНФОРМАТА"": [ID] [PERSON] с [DATE_TIME] по [DANCIAL_DATA "" - ПЕТЕР] (PERSON"") до 31-го байта / ""НЕТ"" - PERSON] с [DATE'SON] по ""ДАЙМАТА","ДЕПАРТАМЕНТ ЗАНЯТОСТИ НАСЕЛЕНИЯ [ORGANIZATION] [LOCATION], [ID] Телефон: [CONTACT]. Тел./Факс: [CONTACT]. E-mail: [CONTACT]. Сайт: [URL] ОКПО: [ID] ОГРН: [ID] ИНН: [ID] КПП: [ID] Работодателю [ORGANIZATION] О прохождении опроса от [DATE_TIME] Уважаемый работодатель! Минтруд России проводит Всероссийский опрос о перспективной кадровой потребности организаций с целью прогнозирования кадровой потребности на период до 7 лет. Опрос проводится до [DATE_TIME] в целях определения ежегодной потребности организаций в профессиональных кадрах для обеспечения их подготовки в системе высшего и среднего профессионального образования по соответствующим специальностям/профессиям и направлениям подготовки. Ваше участие в опросе позволит государству правильно определить количество бюджетных мест в системе образования, подготовить квалифицированных специалистов и обеспечить возможность конкурентного выбора для Вас из числа востребованных специалистов, а не хватать с рынка труда, того, кого еще не забрали другие. Опрос проводится по ссылке [URL]. По указанной ссылке также размещены необходимые инструкции. Дополнительно направляю список специалистов службы занятости населения, готовых оказать необходимую помощь в прохождении опроса. Надеемся на взаимовыгодное сотрудничество! И.о. директора департамента ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сведения о сертификате ЭП Сертификат: [ID] Владелец: [PERSON] Действителен с [DATE_TIME] по [DATE_TIME] [PERSON] [LOCATION] [FINANCIAL_DATA] [LOCATION]"
Блок директора по персоналу,"В соответствии с пунктом 4.4 Типового регламента подбора персонала в дочерних организациях и организациях ПАО ""ОРГОНАНИ ANION"" (в соответствии с изменениями от [DOCUMBER DATE NUMBER] - No ""DOCUMENT-NUMBER] [SINGANiATION], по просьбе ""PERSON"" [REGANION] (с учетом приказа о переводе в компанию ""РОГАНИОН"").

Генеральный директор (ПЕРСОН) (CONTACT) [PERSON] (CONTATE).","[ORGANIZATION] добыча [LOCATION] [ORGANIZATION] [PERSON] улица [LOCATION], дом [NUMBER], город [LOCATION], городской округ город [LOCATION], [REGION], [COUNTRY], [CONTACT] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT], www.[WEBSITE] [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от Об увольнении переводом Уважаемый [PERSON]! Прошу Вас дать согласие на увольнение переводом [PERSON] по его просьбе для дальнейшей работы в [ORGANIZATION]. В соответствии с пунктом 4.4 Типового регламента подбора персонала в дочерних обществах и организациях ПАО [ORGANIZATION], утвержденного распоряжением ПАО [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] (с учетом изменений от [DATE_TIME] No [DOCUMENT_NUMBER]), прошу Вас направить в [ORGANIZATION] рекомендательное письмо на [PERSON]. Генеральный директор [PERSON] [PERSON] ([CONTACT])"
Блок директора по персоналу,"Сотрудники Департамента недропользования и экологии Тюменской области должны проработать вопрос индексации заработной платы на основании [DATE_TIME] No [DOCUMENT_NUMBER], а также при отставании в темпах роста зарплаты работников предприятий от среднероссийского уровня - проработать возможность индексации заработной платы.","ДЕПАРТАМЕНТ НЕДРОПОЛЬЗОВАНИЯ И ЭКОЛОГИИ ТЮМЕНСКОЙ ОБЛАСТИ [LOCATION] тел. [CONTACT], факс [CONTACT], e-mail: [CONTACT] Руководителям системообразующих предприятий Тюменской области (по списку) [DATE_TIME] No [DOCUMENT_NUMBER] На No от Об индексации заработной платы Уважаемые руководители! В соответствии с поручением Губернатора Тюменской области Департамент недропользования и экологии Тюменской области просит провести анализ оплаты труда работников предприятия, и в случае отставания темпов роста заработной платы от среднероссийского уровня проработать возможность проведения индексации заработной платы в рамках исполнения статьи 134 Трудового кодекса Российской Федерации. И.о. директора [PERSON] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
Блок директора по персоналу,"Уважаемый [Регион], для определения государственной политики по формированию прогнозов занятости населения в ключевых сферах экономики, прошу Вас внести вклад в формирование достоверной политики на рынке труда страны и принять участие в опросе работодателей по запросам (от 3 до 7 лет).

СЕРТИФИКАЦИЯ заверена ЭЛЕКТРОНОВОЙ подпиской ЭП Сертификат: [ID] Гарантии: [ID] Гарантии: [PERSON], [ПЕРСОН], [КАНТУКТ], [РЭЙМ], [PERSON], [PERSON], [KATION], эксперт 1 категории управления стратегического планирования департамента экономики ""ОрганИ"", [PERSON] "".","[PERSON] проспект [LOCATION], д. [NUMBER], г. [CITY], [REGION], e-mail: [CONTACT], сайт: [WEBSITE] [DATE_TIME] No [DOCUMENT_NUMBER] [ORGANIZATION] [PERSON] Уважаемый [PERSON]! В целях определения государственной политики на российском рынке труда [ORGANIZATION] проводит Всероссийский опрос работодателей для прогнозирования кадровой потребности экономики и своевременной подготовки профессиональных кадров. Своевременное выявление перспективных потребностей на рынке труда и устранение дефицита кадров в ключевых направлениях экономики обеспечивается ежегодным формированием среднесрочного (3-5 лет) и долгосрочного (7 лет) прогнозов занятости населения. Одним из основных источников информации для формирования прогноза занятости населения являются результаты опроса работодателей о прогнозной потребности в квалифицированных специалистах. Учитывая значимую роль Вашей организации на рынке труда региона прошу Вас внести свой вклад в формирование достоверного прогноза занятости населения России и принять участие в опросе работодателей. Опросная форма доступна по ссылке [URL] с [DATE_TIME] по [DATE_TIME] [YEAR]. Справочная информация по участию в опросе прилагается. Приложение: на 1 л. в 1 экз. ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ СВЕДЕНИЯ О СЕРТИФИКАТЕ ЭП Сертификат: [ID] Владелец: [PERSON] Действителен с [DATE_TIME] по [DATE_TIME] [PERSON] [CONTACT], [PERSON], эксперт I категории управления стратегического планирования департамента экономики [ORGANIZATION], [CONTACT]"
Блок директора по персоналу,"Орион, ул. Ленинская, д. 15А, города Донского, Москва, Россия, 119071 адрес: [CONTACT], ОГРИП, ИНН [ID], КПП [ID], ИНН [ID], ИНН [ID], No / DOCUMENT_NUMBER] адрес: [CONTACT, ISS / ISS / NUMBER] Email: [PERSON] Телефон.

Документ подписан Сертификатом: [FINANCIAL_DATA] владелец: [PERSON] - действует с [DETIPME] по ""DETIPME] [ДЕНЬ ТИМЕ] "".","[ORGANIZATION] шельфпроект [AO] [ORGANIZATION] шельфпроект ([AO] [ORGANIZATION] шельфпроект) пр-кт Ленинский, д. 15А, вн.тер.г. муниципальный округ Донской, Москва, Российская Федерация, 119071 тел.: [CONTACT] e-mail: [CONTACT] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от Об увольнении работника в порядке перевода [PERSON] Уважаемый [PERSON]! Прошу Вас уволить в порядке перевода для дальнейшей работы в [AO] [ORGANIZATION] шельфпроект сотрудника [ORGANIZATION] [PERSON] и предоставить на работника рекомендательное письмо. Согласие работника на перевод имеется. Заместитель генерального директора по организационным вопросам [PERSON] Исп. [PERSON] e-mail: [CONTACT] Тел. [CONTACT] Документ подписан Сертификат: [FINANCIAL_DATA] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
Блок директора по персоналу,"В соответствии с пунктом 5 части 1 статьи 77 Трудового кодекса РФ просим Вас направить рекомендательное письмо на [РЭЙО] в соответствии с Указом о переходе из одного общества в другое в соответствии с распоряжением ""РЭЙООН"" No ""DOCUMBER"" (No ""PERSON""; ) на ""PERSON"" (No ""PERSON"").","[ORGANIZATION] [GENERAL_DIRECTOR] [LOCATION] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT] ОКПО [ID], ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] об увольнении работника в порядке перевода Уважаемый [PERSON]! Просим Вас рассмотреть возможность увольнения в порядке перевода в [ORGANIZATION] [PERSON] в соответствии с пунктом 5 части 1 статьи 77 Трудового кодекса Российской Федерации. Согласие [PERSON] на увольнение в порядке перевода имеется. На основании п. 4.4 Типового регламента подбора персонала в дочерних обществах и организациях [ORGANIZATION], утвержденного распоряжением [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER], просим Вас направить в [ORGANIZATION] рекомендательное письмо на [PERSON]. [PERSON] [PERSON] ([CONTACT])"
Блок директора по персоналу,"В конце июня в ""Роснауке"" будет запущен сбор информации о потребности региона в подготовке квалифицированных специалистов по программам высшего образования на 2026-2027 учебный год с целью определения целевой квоты для целей обучения на 2026-27 учебный год (только через ЕЦП: ""О государственной образовательной образовательной программе высшего образования РФ; ПКР ""ORIANI"".

По новым правилам организация или предприятие, претендующие на целевую подготовку и подготовку по направлениям подготовки: - должны быть зарегистрированы в качестве заказчика по направлению подготовки и формам обучения (ТФП ""Экотехнологии"", ""Учет и учет"" (Техническая и экологическая безопасность), - иметь сертификат на ЕФИА (ЕПИ).

При подаче заявки на создание целевой квоты для подготовки целевых видов обучения в профиле организации (заказчика) обязательно должны быть заполнены следующие сведения: - ОГВЭД; - форма собственности; - категория заказчика целевых видов обучения (в соответствии с пунктом ""ОГВЭД""; - форма собственности; - категория заказчика целевых видов обучения; - категория заказчика целевых видов обучения); - категория заказчика целевого обучения (в соответствии со ст. 71.2 Закона No 273-ФЗ).","МИНОБРНАУКИ РОССИИ Федеральное государственное бюджетное образовательное учреждение высшего образования [ORGANIZATION] [LOCATION] Тел. [CONTACT], e-mail: [CONTACT]; http://www.[ORGANIZATION].ru; http://[DOMAIN] [DATE_TIME] No [DOCUMENT_NUMBER] на No от о целевой подготовке кадров Генеральному директору [ORGANIZATION] [PERSON] [LOCATION] Уважаемый [PERSON]! [ORGANIZATION] информирует о старте сбора информации о потребности региона в целевой подготовке квалифицированных специалистов по программам высшего образования для установления целевой квоты на 2026-2027 учебный год. В 2026 году целевая квота будет определяться на основе потребностей конкретных работодателей. Организовать целевое обучение в 2026 году смогут все заинтересованные стороны, которые могут выступать в роли заказчиков целевого обучения в соответствии со ст.71.1 ФЗ Об образовании в Российской Федерации или в роли работодателей. Подача заявок о целевой кадровой потребности организации на 2026-2027 учебный год осуществляется только через ЕЦП Работа в России [CONTACT]). Просим Вас выступить в качестве заказчика целевого обучения или работодателя и внести заявки по востребованным Вашей организацией направлениям подготовки, реализуемых в [ORGANIZATION]: * [ID] Экология и природопользование (профиль Экология (бакалавриат), * [ID] Техносферная безопасность (профили Безопасность жизнедеятельности и охрана труда, Экологическая безопасность и защита в чрезвычайных ситуациях (бакалавриат), * [ID] Нефтегазовое дело (профили Эксплуатация и обслуживание объектов добычи нефти и газа, Бурение нефтяных и газовых скважин (бакалавриат), * [ID] Прикладная геология (специализация Геология месторождений нефти и газа) (специалитет). По каждому направлению подготовки и форме обучения должна вноситься отдельная заявка. По итогам внесения сведений просим, по возможности, выслать скрин подтверждения заполненной заявки для формирования сводной информации о кадровой потребности в целевой подготовке специалистов на базе [ORGANIZATION]. Согласно новым правилам, организации или предприятия, претендующие на заключение договоров целевого обучения, должны быть: - зарегистрированы на ЕЦП Работа в России ([CONTACT]), - иметь авторизацию на ЕЦП Работа в России с использованием Единой системы идентификации и аутентификации (ЕСИА). Перед подачей информации о кадровой потребности в профиле организации/заказчика обязательно должны быть заполнены сведения: - ОКВЭД; - форма собственности; - категория заказчика целевого обучения (из списка ст. 71.1 Закона No 273-ФЗ). Возможность подачи информации о потребности в заключение целевых договоров для формирования детализированной квоты приема на целевое обучение на 2026 год будет доступна работодателям/заказчикам целевого обучения в личных кабинетах на ЕЦП Работа в России до [DATE_TIME]! В случае подачи заявки позже установленного срока, потребность в целевом обучении не будет учтена при утверждении квоты на 2026/2027 учебный год. По всем вопросам, связанным с подачей заявок на формирование кадровой потребности, можно обращаться в Министерство труда и занятости населения [REGION], Отдел профессиональной ориентации и профессионального обучения, [CONTACT]. Алгоритм подачи заявок через ЕЦП Работа в России приведен в приложении 1. Первый проректор [PERSON] Директор Института наук о Земле [PERSON] [CONTACT] И.о. заведующего кафедрой нефтегазового дела [PERSON] [CONTACT]"
Блок директора по персоналу,"На имя ""КОНТАКСТ"", почтового адреса [CONTACT], e-mail: CONTACT, телефон: [КОНТАКСТ], адрес электронной почты: [ОКНАНИ-ATION].

Директор ""ПЕРСОН"", [CONTACT"" Руководителям системообразующих предприятий (по списку) Сертификат (ID): [PERSON] ПРАВА: [ID] Включен в ""ДАЙТ-ТИМЕ"" с [DATE-TIME] по [ДАТАТИМ], с [DDATE-TIME] по [DATE_TIME] - DATE.","[ORGANIZATION] [LOCATION] тел. [CONTACT], факс [CONTACT], e-mail: [CONTACT] [DATE_TIME] No [DOCUMENT_NUMBER] На [DOCUMENT_NUMBER] от [ORGANIZATION] целевой кадровой потребности Уважаемые руководители! В адрес [ORGANIZATION] поступило обращение [ORGANIZATION] по вопросу размещения заявок о целевой кадровой потребности на [ORGANIZATION] Работа в России. В случае Вашей заинтересованности в целевом обучении и организации подготовки будущих сотрудников, Вы можете связаться с ведущим менеджером [ORGANIZATION] [PERSON], тел.: [CONTACT], адрес электронной почты: [CONTACT]. Инструкцию по размещению заявок направляем согласно приложению. Приложение: Письмо [ORGANIZATION] на 2 л. в 1 экз. Инструкция по размещению заявок на 14 л. Директор [PERSON], [CONTACT] Руководителям системообразующих предприятий (по списку) ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]"
